word,type1,type2,type3,antonym1,antonym2,infinitive,gerund,past_participle,present_participle,present_1s,present_2s,present_3s,present_1p,present_2p,present_3p,,,,,,,,,,nominative,prepositional,comitative,accusative,dative,genitive,masculine_singular,masculine_plural,feminine_singular,feminine_plural,neuter,plural,diminuitive,augmentative,pejorative,apocopic,comparative,superlative,noun_suffix,imperfect_1s,imperfect_2s,imperfect_3s,imperfect_1p,imperfect_2p,imperfect_3p,preterite_1s,preterite_2s,preterite_3s,preterite_1p,preterite_2p,preterite_3p,future_1s,future_2s,future_3s,future_1p,future_2,future_3p,simple_conditional_1s,simple_conditional_2s,simple_conditional_3s,simple_conditional_1p,simple_conditional_2p,simple_conditional_3p,affirmative_imperative_1s,affirmative_imperative_2s,affirmative_imperative_3s,affirmative_imperative_1p,affirmative_imperative_2p,affirmative_imperative_3p,negative_imperative_1s,negative_imperative_2s,negative_imperative_3s,negative_imperative_1p,negative_imperative_2p,negative_imperative_3p,present_subjunctive_1s,present_subjunctive_2s,present_subjunctive_3s,present_subjunctive_1p,present_subjunctive_2p,present_subjunctive_3p,imperfect_subjunctive_1s,imperfect_subjunctive_2s,imperfect_subjunctive_3s,imperfect_subjunctive_1p,imperfect_subjunctive_2p,imperfect_subjunctive_3p,future_subjunctive_1s,future_subjunctive_2s,future_subjunctive_3s,future_subjunctive_1p,future_subjunctive_2p,future_subjunctive_3p
yo,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,yo,mí,conmigo,me,,mío,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tú,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,tú,ti,contigo,te,,tuyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vos,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,vos,vos,con vos,te,,suyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
él,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,él,él,con él,lo,le,suya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ella,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,ella,ella,con ella,la,le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ello,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,ello,ello,con ello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usted,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,usted,uste,con uste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sí,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,sí,consigo,se,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosotros,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,nosotros,nosotros,con nosotros,nos,,nuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosotras,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,nosotras,nosotras,con nosotras,,,nuestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
